questionnaire_id,stakeholder,is_group_level,bias_type,domain,harm_family,harm,votes,total_votes,vote_share,stakeholder_raw
1,applicant,True,algorithmic,hiring,group,alienation,2,28,0.07142857142857142,applicant group
1,applicant,True,algorithmic,hiring,group,demeaning,8,28,0.2857142857142857,applicant group
1,applicant,True,algorithmic,hiring,group,denying self-identity,4,28,0.14285714285714285,applicant group
1,applicant,True,algorithmic,hiring,group,erasure,3,28,0.10714285714285714,applicant group
1,applicant,True,algorithmic,hiring,group,none,5,28,0.17857142857142858,applicant group
1,applicant,True,algorithmic,hiring,group,reifying categories,1,28,0.03571428571428571,applicant group
1,applicant,True,algorithmic,hiring,group,stereotyping,5,28,0.17857142857142858,applicant group
1,applicant,False,algorithmic,hiring,individual,alienation,1,33,0.030303030303030304,applicant
1,applicant,False,algorithmic,hiring,individual,diminished health and well-being,1,33,0.030303030303030304,applicant
1,applicant,False,algorithmic,hiring,individual,economic loss,7,33,0.21212121212121213,applicant
1,applicant,False,algorithmic,hiring,individual,increased labor,6,33,0.18181818181818182,applicant
1,applicant,False,algorithmic,hiring,individual,loss of agency or control,3,33,0.09090909090909091,applicant
1,applicant,False,algorithmic,hiring,individual,opportunity loss,7,33,0.21212121212121213,applicant
1,applicant,False,algorithmic,hiring,individual,privacy violation,0,33,0.0,applicant
1,applicant,False,algorithmic,hiring,individual,service or benefit loss,8,33,0.24242424242424243,applicant
1,applicant,False,algorithmic,hiring,individual,technology-facilitated violence,0,33,0.0,applicant
1,applicant,True,representation,hiring,group,alienation,2,31,0.06451612903225806,applicant group
1,applicant,True,representation,hiring,group,demeaning,6,31,0.1935483870967742,applicant group
1,applicant,True,representation,hiring,group,denying self-identity,4,31,0.12903225806451613,applicant group
1,applicant,True,representation,hiring,group,erasure,6,31,0.1935483870967742,applicant group
1,applicant,True,representation,hiring,group,none,2,31,0.06451612903225806,applicant group
1,applicant,True,representation,hiring,group,reifying categories,3,31,0.0967741935483871,applicant group
1,applicant,True,representation,hiring,group,stereotyping,8,31,0.25806451612903225,applicant group
1,applicant,False,representation,hiring,individual,alienation,2,35,0.05714285714285714,applicant
1,applicant,False,representation,hiring,individual,diminished health and well-being,3,35,0.08571428571428572,applicant
1,applicant,False,representation,hiring,individual,economic loss,4,35,0.11428571428571428,applicant
1,applicant,False,representation,hiring,individual,increased labor,3,35,0.08571428571428572,applicant
1,applicant,False,representation,hiring,individual,loss of agency or control,7,35,0.2,applicant
1,applicant,False,representation,hiring,individual,opportunity loss,10,35,0.2857142857142857,applicant
1,applicant,False,representation,hiring,individual,privacy violation,0,35,0.0,applicant
1,applicant,False,representation,hiring,individual,service or benefit loss,6,35,0.17142857142857143,applicant
1,applicant,False,representation,hiring,individual,technology-facilitated violence,0,35,0.0,applicant
2,applicant,True,deployment,hiring,group,alienation,3,28,0.10714285714285714,applicant group
2,applicant,True,deployment,hiring,group,demeaning,6,28,0.21428571428571427,applicant group
2,applicant,True,deployment,hiring,group,denying self-identity,1,28,0.03571428571428571,applicant group
2,applicant,True,deployment,hiring,group,erasure,5,28,0.17857142857142858,applicant group
2,applicant,True,deployment,hiring,group,none,5,28,0.17857142857142858,applicant group
2,applicant,True,deployment,hiring,group,reifying categories,2,28,0.07142857142857142,applicant group
2,applicant,True,deployment,hiring,group,stereotyping,6,28,0.21428571428571427,applicant group
2,applicant,False,deployment,hiring,individual,alienation,5,32,0.15625,applicant
2,applicant,False,deployment,hiring,individual,diminished health and well-being,6,32,0.1875,applicant
2,applicant,False,deployment,hiring,individual,economic loss,2,32,0.0625,applicant
2,applicant,False,deployment,hiring,individual,increased labor,1,32,0.03125,applicant
2,applicant,False,deployment,hiring,individual,loss of agency or control,3,32,0.09375,applicant
2,applicant,False,deployment,hiring,individual,opportunity loss,7,32,0.21875,applicant
2,applicant,False,deployment,hiring,individual,privacy violation,1,32,0.03125,applicant
2,applicant,False,deployment,hiring,individual,service or benefit loss,6,32,0.1875,applicant
2,applicant,False,deployment,hiring,individual,technology-facilitated violence,1,32,0.03125,applicant
2,applicant,True,measurement,hiring,group,alienation,5,30,0.16666666666666666,applicant group
2,applicant,True,measurement,hiring,group,demeaning,8,30,0.26666666666666666,applicant group
2,applicant,True,measurement,hiring,group,denying self-identity,5,30,0.16666666666666666,applicant group
2,applicant,True,measurement,hiring,group,erasure,2,30,0.06666666666666667,applicant group
2,applicant,True,measurement,hiring,group,none,4,30,0.13333333333333333,applicant group
2,applicant,True,measurement,hiring,group,reifying categories,1,30,0.03333333333333333,applicant group
2,applicant,True,measurement,hiring,group,stereotyping,5,30,0.16666666666666666,applicant group
2,applicant,False,measurement,hiring,individual,alienation,2,33,0.06060606060606061,applicant
2,applicant,False,measurement,hiring,individual,diminished health and well-being,8,33,0.24242424242424243,applicant
2,applicant,False,measurement,hiring,individual,economic loss,2,33,0.06060606060606061,applicant
2,applicant,False,measurement,hiring,individual,increased labor,5,33,0.15151515151515152,applicant
2,applicant,False,measurement,hiring,individual,loss of agency or control,2,33,0.06060606060606061,applicant
2,applicant,False,measurement,hiring,individual,opportunity loss,12,33,0.36363636363636365,applicant
2,applicant,False,measurement,hiring,individual,privacy violation,1,33,0.030303030303030304,applicant
2,applicant,False,measurement,hiring,individual,service or benefit loss,1,33,0.030303030303030304,applicant
2,applicant,False,measurement,hiring,individual,technology-facilitated violence,0,33,0.0,applicant
3,developer,False,algorithmic,hiring,individual,alienation,2,33,0.06060606060606061,developer
3,developer,False,algorithmic,hiring,individual,diminished health and well-being,4,33,0.12121212121212122,developer
3,developer,False,algorithmic,hiring,individual,economic loss,2,33,0.06060606060606061,developer
3,developer,False,algorithmic,hiring,individual,increased labor,5,33,0.15151515151515152,developer
3,developer,False,algorithmic,hiring,individual,loss of agency or control,6,33,0.18181818181818182,developer
3,developer,False,algorithmic,hiring,individual,opportunity loss,8,33,0.24242424242424243,developer
3,developer,False,algorithmic,hiring,individual,privacy violation,0,33,0.0,developer
3,developer,False,algorithmic,hiring,individual,service or benefit loss,6,33,0.18181818181818182,developer
3,developer,False,algorithmic,hiring,individual,technology-facilitated violence,0,33,0.0,developer
3,developer,False,representation,diagnosis,individual,alienation,4,32,0.125,developer
3,developer,False,representation,diagnosis,individual,diminished health and well-being,11,32,0.34375,developer
3,developer,False,representation,diagnosis,individual,economic loss,2,32,0.0625,developer
3,developer,False,representation,diagnosis,individual,increased labor,5,32,0.15625,developer
3,developer,False,representation,diagnosis,individual,loss of agency or control,1,32,0.03125,developer
3,developer,False,representation,diagnosis,individual,opportunity loss,2,32,0.0625,developer
3,developer,False,representation,diagnosis,individual,privacy violation,0,32,0.0,developer
3,developer,False,representation,diagnosis,individual,service or benefit loss,5,32,0.15625,developer
3,developer,False,representation,diagnosis,individual,technology-facilitated violence,2,32,0.0625,developer
4,developer,False,deployment,hiring,individual,alienation,2,30,0.06666666666666667,developer
4,developer,False,deployment,hiring,individual,diminished health and well-being,2,30,0.06666666666666667,developer
4,developer,False,deployment,hiring,individual,economic loss,5,30,0.16666666666666666,developer
4,developer,False,deployment,hiring,individual,increased labor,6,30,0.2,developer
4,developer,False,deployment,hiring,individual,loss of agency or control,8,30,0.26666666666666666,developer
4,developer,False,deployment,hiring,individual,opportunity loss,5,30,0.16666666666666666,developer
4,developer,False,deployment,hiring,individual,privacy violation,0,30,0.0,developer
4,developer,False,deployment,hiring,individual,service or benefit loss,2,30,0.06666666666666667,developer
4,developer,False,deployment,hiring,individual,technology-facilitated violence,0,30,0.0,developer
4,developer,False,measurement,diagnosis,individual,alienation,1,29,0.034482758620689655,developer
4,developer,False,measurement,diagnosis,individual,diminished health and well-being,8,29,0.27586206896551724,developer
4,developer,False,measurement,diagnosis,individual,economic loss,1,29,0.034482758620689655,developer
4,developer,False,measurement,diagnosis,individual,increased labor,5,29,0.1724137931034483,developer
4,developer,False,measurement,diagnosis,individual,loss of agency or control,6,29,0.20689655172413793,developer
4,developer,False,measurement,diagnosis,individual,opportunity loss,2,29,0.06896551724137931,developer
4,developer,False,measurement,diagnosis,individual,privacy violation,3,29,0.10344827586206896,developer
4,developer,False,measurement,diagnosis,individual,service or benefit loss,2,29,0.06896551724137931,developer
4,developer,False,measurement,diagnosis,individual,technology-facilitated violence,1,29,0.034482758620689655,developer
5,company,False,algorithmic,hiring,individual,alienation,1,28,0.03571428571428571,company
5,company,False,algorithmic,hiring,individual,diminished health and well-being,1,28,0.03571428571428571,company
5,company,False,algorithmic,hiring,individual,economic loss,3,28,0.10714285714285714,company
5,company,False,algorithmic,hiring,individual,increased labor,0,28,0.0,company
5,company,False,algorithmic,hiring,individual,loss of agency or control,3,28,0.10714285714285714,company
5,company,False,algorithmic,hiring,individual,opportunity loss,14,28,0.5,company
5,company,False,algorithmic,hiring,individual,privacy violation,0,28,0.0,company
5,company,False,algorithmic,hiring,individual,service or benefit loss,6,28,0.21428571428571427,company
5,company,False,algorithmic,hiring,individual,technology-facilitated violence,0,28,0.0,company
5,healthcare institution,False,representation,diagnosis,individual,alienation,1,30,0.03333333333333333,healthcare institution
5,healthcare institution,False,representation,diagnosis,individual,diminished health and well-being,8,30,0.26666666666666666,healthcare institution
5,healthcare institution,False,representation,diagnosis,individual,economic loss,2,30,0.06666666666666667,healthcare institution
5,healthcare institution,False,representation,diagnosis,individual,increased labor,3,30,0.1,healthcare institution
5,healthcare institution,False,representation,diagnosis,individual,loss of agency or control,7,30,0.23333333333333334,healthcare institution
5,healthcare institution,False,representation,diagnosis,individual,opportunity loss,4,30,0.13333333333333333,healthcare institution
5,healthcare institution,False,representation,diagnosis,individual,privacy violation,1,30,0.03333333333333333,healthcare institution
5,healthcare institution,False,representation,diagnosis,individual,service or benefit loss,4,30,0.13333333333333333,healthcare institution
5,healthcare institution,False,representation,diagnosis,individual,technology-facilitated violence,0,30,0.0,healthcare institution
6,company,False,deployment,hiring,individual,alienation,4,32,0.125,company
6,company,False,deployment,hiring,individual,diminished health and well-being,4,32,0.125,company
6,company,False,deployment,hiring,individual,economic loss,3,32,0.09375,company
6,company,False,deployment,hiring,individual,increased labor,2,32,0.0625,company
6,company,False,deployment,hiring,individual,loss of agency or control,1,32,0.03125,company
6,company,False,deployment,hiring,individual,opportunity loss,8,32,0.25,company
6,company,False,deployment,hiring,individual,privacy violation,1,32,0.03125,company
6,company,False,deployment,hiring,individual,service or benefit loss,8,32,0.25,company
6,company,False,deployment,hiring,individual,technology-facilitated violence,1,32,0.03125,company
6,healthcare institution,False,measurement,diagnosis,individual,alienation,2,32,0.0625,healthcare institution
6,healthcare institution,False,measurement,diagnosis,individual,diminished health and well-being,9,32,0.28125,healthcare institution
6,healthcare institution,False,measurement,diagnosis,individual,economic loss,1,32,0.03125,healthcare institution
6,healthcare institution,False,measurement,diagnosis,individual,increased labor,6,32,0.1875,healthcare institution
6,healthcare institution,False,measurement,diagnosis,individual,loss of agency or control,5,32,0.15625,healthcare institution
