bias_a,bias_b,chi2,df,p_value,perm_p,cramers_v,cohens_w,N,q_value
algorithmic,evaluation,13.79617406462508,6,0.031997760943395445,0.9596080783843232,0.46429001686420834,0.46429001686420834,64,0.1066592031446515
algorithmic,representation,5.5125863458331,6,0.47993678084849234,0.9672065586882623,0.28472345576410013,0.28472345576410013,68,0.47993678084849234
algorithmic,measurement,16.6066985645933,7,0.02011608588269938,0.9704059188162367,0.501614039793625,0.501614039793625,66,0.1005804294134969
evaluation,representation,12.00890059249506,6,0.0617705374468614,0.9706058788242351,0.4265595377907147,0.4265595377907147,66,0.12380447545383748
deployment,evaluation,18.23784486417657,8,0.019512328686285853,0.972005598880224,0.5380423784597973,0.5380423784597973,63,0.1005804294134969
evaluation,measurement,10.233207652562491,7,0.17573850099336435,0.9752049590081984,0.39986731495746053,0.39986731495746053,64,0.2510550014190919
measurement,representation,10.921042209353898,7,0.14210039643823724,0.9826034793041392,0.4007537422186638,0.4007537422186638,68,0.23683399406372874
algorithmic,deployment,14.861148689273689,8,0.061902237726918746,0.9830033993201359,0.4781558916902068,0.4781558916902068,65,0.12380447545383748
deployment,representation,7.96343024709884,8,0.43705051814381357,0.9858028394321136,0.3447566792205002,0.3447566792205002,67,0.47993678084849234
deployment,measurement,10.312369465329992,8,0.2437825082085372,0.9868026394721056,0.398311232490566,0.398311232490566,65,0.3047281352606715
